pcod2,name2,pcod1,name1
AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
fid000,ABURA / ASEBU / KWAMANKESE,fid004,CENTRAL
fid001,ADA EAST,fid006,GREATER ACCRA
fid002,ADA WEST,fid006,GREATER ACCRA
fid003,ADAKLU ANYIGBE,fid013,VOLTA
fid004,ADANSI ASOKWA,fid001,ASHANTI
fid005,ADANSI SOUTH,fid001,ASHANTI
fid006,ADENTA MUNICIPAL,fid006,GREATER ACCRA
fid007,AFADZATO SOUTH,fid013,VOLTA
fid008,AFIGYA KWABRE NORTH,fid001,ASHANTI
fid009,AGONA EAST,fid004,CENTRAL
fid010,AGONA WEST,fid004,CENTRAL
fid011,AGOTIME ZIOPE,fid013,VOLTA
fid012,AHAFO ANO NORTH,fid001,ASHANTI
fid013,AHAFO ANO SOUTH WEST,fid001,ASHANTI
fid014,AHANTA WEST,fid014,WESTERN
fid015,AJUMAKO-ENYAN-ESIAM,fid004,CENTRAL
fid016,AKATSI NORTH,fid013,VOLTA
fid017,AKATSI SOUTH,fid013,VOLTA
fid018,OKERE,fid005,EASTERN
fid019,AKWAPIM SOUTH,fid005,EASTERN
fid020,AKYEMANSA,fid005,EASTERN
fid021,ABLEKUMA CENTRAL,fid006,GREATER ACCRA
fid022,ABLEKUMA NORTH,fid006,GREATER ACCRA
fid023,ABLEKUMA WEST,fid006,GREATER ACCRA
fid025,AYAWASO CENTRAL,fid006,GREATER ACCRA
fid026,AYAWASO EAST,fid006,GREATER ACCRA
fid027,AYAWASO WEST,fid006,GREATER ACCRA
fid028,OKAIKOI NORTH,fid006,GREATER ACCRA
fid030,KORLE KLOTTEY,fid006,GREATER ACCRA
fid031,AMANSIE CENTRAL,fid001,ASHANTI
fid032,AMANSIE SOUTH,fid001,ASHANTI
fid033,AOWIN,fid015,WESTERN NORTH
fid034,ASANTE AKIM CENTRAL MUNICIPA,fid001,ASHANTI
fid035,ASANTE AKIM NORTH,fid001,ASHANTI
fid036,ASANTE AKIM SOUTH,fid001,ASHANTI
fid037,ASHAIMAN,fid006,GREATER ACCRA
fid038,ASIKUMAN / ODOBEN / BRAKWA,fid004,CENTRAL
fid039,ASOKORE MAMPONG,fid001,ASHANTI
fid040,ASSIN NORTH,fid004,CENTRAL
fid041,ASSIN SOUTH,fid004,CENTRAL
fid042,ASUNAFO NORTH,fid000,AHAFO
fid043,ASUNAFO SOUTH,fid000,AHAFO
fid044,ASUOGYAMAN,fid005,EASTERN
fid045,ASUTIFI NORTH,fid000,AHAFO
fid046,ASUTIFI SOUTH,fid000,AHAFO
fid047,ATEBUBU AMANTIN,fid003,BONO EAST
fid048,ATIWA WEST,fid005,EASTERN
fid049,ATWIMA KWANWOMA,fid001,ASHANTI
fid050,ATWIMA MPONUA,fid001,ASHANTI
fid051,ATWIMA NWABIAGYA SOUTH,fid001,ASHANTI
fid052,AWUTU SENYA,fid004,CENTRAL
fid053,AWUTU SENYA EAST,fid004,CENTRAL
fid054,AYENSUANO,fid005,EASTERN
fid055,BANDA,fid002,BONO
fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
fid057,BAWKU WEST,fid011,UPPER EAST
fid058,BEKWAI MUNICIPAL,fid001,ASHANTI
fid059,BEREKUM WEST,fid002,BONO
fid060,BIA EAST,fid015,WESTERN NORTH
fid061,BIA WEST,fid015,WESTERN NORTH
fid062,BIAKOYE,fid009,OTI
fid063,BINDURI,fid011,UPPER EAST
fid064,ASENE MANSO AKROSO,fid005,EASTERN
