region,district,pcod2,name2,pcod1,name1
ASHANTI,ADANSI AKROFUOM,fid004,ADANSI ASOKWA,fid001,ASHANTI
ASHANTI,ADANSI ASOKWA,fid004,ADANSI ASOKWA,fid001,ASHANTI
ASHANTI,ADANSI ASOKWA (ADANSI NORTH),fid004,ADANSI ASOKWA,fid001,ASHANTI
ASHANTI,ADANSI ASOKWA (OBUASI EAST),fid004,ADANSI ASOKWA,fid001,ASHANTI
ASHANTI,ADANSI NORTH,fid269,ADANSI NORTH,fid001,ASHANTI
ASHANTI,ADANSI NORTH (ADANSI ASOKWA),fid269,ADANSI NORTH,fid001,ASHANTI
ASHANTI,ADANSI NORTH (OBUASI EAST),fid269,ADANSI NORTH,fid001,ASHANTI
ASHANTI,ADANSI NORTH (OBUASI),fid269,ADANSI NORTH,fid001,ASHANTI
ASHANTI,ADANSI SOUTH,fid005,ADANSI SOUTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE NORTH,fid008,AFIGYA KWABRE NORTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE NORTH (KUMASI METRO),fid008,AFIGYA KWABRE NORTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE SOUTH,fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE SOUTH (BOSOMTWE),fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE SOUTH (KUMASI METRO),fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
ASHANTI,AFIGYA KWABRE SOUTH (OFORIKROM),fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
ASHANTI,AFIGYA KWARE SOUTH (KUMASI METRO),fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
ASHANTI,AHAFO ANO NORTH,fid012,AHAFO ANO NORTH,fid001,ASHANTI
ASHANTI,AHAFO ANO SOUTH EAST,fid268,AHAFO ANO SOUTH EAST,fid001,ASHANTI
ASHANTI,AHAFO ANO SOUTH WEST,fid013,AHAFO ANO SOUTH WEST,fid001,ASHANTI
ASHANTI,AMANSIE CENTRAL,fid031,AMANSIE CENTRAL,fid001,ASHANTI
ASHANTI,AMANSIE CENTRAL (OBUASI),fid031,AMANSIE CENTRAL,fid001,ASHANTI
ASHANTI,AMANSIE SOUTH,fid032,AMANSIE SOUTH,fid001,ASHANTI
ASHANTI,AMANSIE WEST,fid267,AMANSIE WEST,fid001,ASHANTI
ASHANTI,AMANSIE WEST (ATWIMA KWANWOMA),fid267,AMANSIE WEST,fid001,ASHANTI
ASHANTI,AMANSIE WEST (ATWIMA NWABIAGYA SOUTH),fid267,AMANSIE WEST,fid001,ASHANTI
ASHANTI,AMANSIE WEST (KUMASI METRO),fid267,AMANSIE WEST,fid001,ASHANTI
ASHANTI,AMANSIE WEST (OFORIKROM),fid267,AMANSIE WEST,fid001,ASHANTI
ASHANTI,ASANTE AKIM CENTRAL,fid034,ASANTE AKIM CENTRAL MUNICIPA,fid001,ASHANTI
ASHANTI,ASANTE AKIM CENTRAL (OFORIKROM),fid034,ASANTE AKIM CENTRAL MUNICIPA,fid001,ASHANTI
ASHANTI,ASANTE AKIM NORTH,fid035,ASANTE AKIM NORTH,fid001,ASHANTI
ASHANTI,ASANTE AKIM SOUTH,fid036,ASANTE AKIM SOUTH,fid001,ASHANTI
ASHANTI,ASANTE MAMPONG,fid039,ASOKORE MAMPONG,fid001,ASHANTI
ASHANTI,ASANTE MAMPONG (KUMASI METRO),fid039,ASOKORE MAMPONG,fid001,ASHANTI
