region,district,pcod2,name2,pcod1,name1
BONO EAST,ATEBUBU-AMANTEN,fid047,ATEBUBU AMANTIN,fid003,BONO EAST
BONO EAST,EAST GONJA,fid238,EAST GONJA,fid010,SAVANNAH
BONO EAST,KINTAMPO NORTH,fid117,KINTAMPO NORTH,fid003,BONO EAST
BONO EAST,KINTAMPO SOUTH,fid118,KINTAMPO SOUTH,fid003,BONO EAST
BONO EAST,NKORANZA NORTH,fid162,NKORANZA NORTH,fid003,BONO EAST
BONO EAST,NKORANZA SOUTH,fid161,NKORANSA SOUTH,fid003,BONO EAST
BONO EAST,PRU EAST,fid241,PRU EAST,fid003,BONO EAST
BONO EAST,PRU WEST,fid174,PRU WEST,fid003,BONO EAST
BONO EAST,SENE EAST,fid188,SENE EAST,fid003,BONO EAST
BONO EAST,SENE WEST,fid189,SENE WEST,fid003,BONO EAST
BONO EAST,TECHHIMAN MUNICIPAL,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO EAST,TECHIMAN,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO EAST,TECHIMAN  MUNICIPAL,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO EAST,TECHIMAN MHD,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO EAST,TECHIMAN MUNICIPAL,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO EAST,TECHIMAN NORTH,fid213,TECHIMAN NORTH,fid003,BONO EAST
BONO EAST,NA,,,,
