region,district,pcod2,name2,pcod1,name1
BONO,BANDA,fid055,BANDA,fid002,BONO
BONO,BEREKUM EAST,fid247,BEREKUM EAST,fid002,BONO
BONO,BEREKUM WEST,fid059,BEREKUM WEST,fid002,BONO
BONO,BIADAN,fid247,BEREKUM EAST,fid002,BONO
BONO,DIORMAA WEST,fid084,DORMAA WEST,fid002,BONO
BONO,DORMAA CENTRAL,fid083,DORMAA MUNICIPAL,fid002,BONO
BONO,DORMAA EAST,fid082,DORMAA EAST,fid002,BONO
BONO,"DORMAA MUN,.",fid083,DORMAA MUNICIPAL,fid002,BONO
BONO,DORMAA MUNICIPAL,fid083,DORMAA MUNICIPAL,fid002,BONO
BONO,DORMAA WEST,fid084,DORMAA WEST,fid002,BONO
BONO,JAMAN NORTH,fid104,JAMAN NORTH,fid002,BONO
BONO,JAMAN SOUTH,fid105,JAMAN SOUTH,fid002,BONO
BONO,MHD-WENCHI,fid230,WENCHI,fid002,BONO
BONO,NKRANKWANTA,fid084,DORMAA WEST,fid002,BONO
BONO,SUNAYNI WEST,fid203,SUNYANI WEST,fid002,BONO
BONO,SUNYANI,fid202,SUNYANI MUNICIPAL,fid002,BONO
BONO,SUNYANI EAST,fid202,SUNYANI MUNICIPAL,fid002,BONO
BONO,SUNYANI MUN,fid202,SUNYANI MUNICIPAL,fid002,BONO
BONO,SUNYANI WEST,fid203,SUNYANI WEST,fid002,BONO
BONO,TAIN,fid204,TAIN,fid002,BONO
BONO,TECHIMAN,fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
BONO,WENCHI,fid230,WENCHI,fid002,BONO
BONO,NA,,,,
