region,district,pcod2,name2,pcod1,name1
CENTRAL,ABURA ASEBU KWAMANKESE,fid000,ABURA / ASEBU / KWAMANKESE,fid004,CENTRAL
CENTRAL,AEE,fid015,AJUMAKO-ENYAN-ESIAM,fid004,CENTRAL
CENTRAL,AGONA WEST,fid010,AGONA WEST,fid004,CENTRAL
CENTRAL,AOB,fid038,ASIKUMAN / ODOBEN / BRAKWA,fid004,CENTRAL
CENTRAL,ASEM,fid053,AWUTU SENYA EAST,fid004,CENTRAL
CENTRAL,ASIKUMA ODOBEN BRAKWA,fid038,ASIKUMAN / ODOBEN / BRAKWA,fid004,CENTRAL
CENTRAL,ASSIN FOSO,fid263,ASSIN FOSU,fid004,CENTRAL
CENTRAL,ASSIN FOSO MUNICIPALITY,fid263,ASSIN FOSU,fid004,CENTRAL
CENTRAL,ASSIN NORTH,fid040,ASSIN NORTH,fid004,CENTRAL
CENTRAL,ASSIN SOUTH,fid041,ASSIN SOUTH,fid004,CENTRAL
CENTRAL,AWUTU SENYA,fid052,AWUTU SENYA,fid004,CENTRAL
CENTRAL,AWUTU SENYA EAST,fid053,AWUTU SENYA EAST,fid004,CENTRAL
CENTRAL,AWUTU SENYA WEST,fid052,AWUTU SENYA,fid004,CENTRAL
CENTRAL,AWUTU-SENYA EAST,fid053,AWUTU SENYA EAST,fid004,CENTRAL
CENTRAL,EFFUTU,fid087,EFFUTU,fid004,CENTRAL
CENTRAL,EKUMFI,fid090,EKUMFI,fid004,CENTRAL
CENTRAL,GA SOUTH,fid095,GA SOUTH,fid006,GREATER ACCRA
CENTRAL,GA-SOUTH,fid095,GA SOUTH,fid006,GREATER ACCRA
CENTRAL,GOMOA CENTRAL,fid260,GOMOA CENTRAL,fid004,CENTRAL
CENTRAL,GOMOA EAST,fid098,GOMOA EAST,fid004,CENTRAL
CENTRAL,GOMOA WEST,fid099,GOMOA WEST,fid004,CENTRAL
CENTRAL,KEEA,fid128,KOMENDA EDINA EGUAFO ABIREM,fid004,CENTRAL
CENTRAL,MFANSTEMAN,fid151,MFANTSIMAN,fid004,CENTRAL
CENTRAL,OUTSIDE CENTRAL REGION,,,,
CENTRAL,TWIFO/ ATI-MORKWA,fid217,TWIFO ATI MORKWA,fid004,CENTRAL
CENTRAL,WEIJA-GBAWE,fid249,WEIJA GBAWE,fid006,GREATER ACCRA
