region,district,pcod2,name2,pcod1,name1
EASTERN,ABLEKUMA NORTH,fid022,ABLEKUMA NORTH,fid006,GREATER ACCRA
EASTERN,ABUAKO NORTH,fid265,ABUAKWA NORTH,fid005,EASTERN
EASTERN,ABUAKWA NORTH,fid265,ABUAKWA NORTH,fid005,EASTERN
EASTERN,ABUAKWA SOUTH,fid085,ABUAKWA SOUTH,fid005,EASTERN
EASTERN,ACCRA,AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
EASTERN,ACCRA-METRO,AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
EASTERN,ACHIASE,fid066,ACHIASE,fid005,EASTERN
EASTERN,AKUAPEM NORTH,fid258,AKWAPIM NORTH,fid005,EASTERN
EASTERN,AKUAPIM,fid258,AKWAPIM NORTH,fid005,EASTERN
EASTERN,AKUAPIM NORTH,fid258,AKWAPIM NORTH,fid005,EASTERN
EASTERN,AKUAPIM SOUTH,fid019,AKWAPIM SOUTH,fid005,EASTERN
EASTERN,AKWAPEM NORTTH,fid258,AKWAPIM NORTH,fid005,EASTERN
EASTERN,AKWAPIM NORTH,fid258,AKWAPIM NORTH,fid005,EASTERN
EASTERN,AKWAPIM SOUTH,fid019,AKWAPIM SOUTH,fid005,EASTERN
EASTERN,AKYEMANSA,fid020,AKYEMANSA,fid005,EASTERN
EASTERN,ASENE MANSO AKROSO,fid064,ASENE MANSO AKROSO,fid005,EASTERN
EASTERN,ASUOGYAMAN,fid044,ASUOGYAMAN,fid005,EASTERN
EASTERN,ATIWA,fid266,ATIWA EAST,fid005,EASTERN
EASTERN,ATIWA EAST,fid266,ATIWA EAST,fid005,EASTERN
EASTERN,ATIWA WEST,fid048,ATIWA WEST,fid005,EASTERN
EASTERN,AYAWASO EAST,fid026,AYAWASO EAST,fid006,GREATER ACCRA
EASTERN,AYAWASO WAGON,fid025,AYAWASO CENTRAL,fid006,GREATER ACCRA
EASTERN,AYENSUANO,fid054,AYENSUANO,fid005,EASTERN
EASTERN,AYESUANO,fid054,AYENSUANO,fid005,EASTERN
EASTERN,BIREM CENTRAL,fid259,BIRIM CENTRAL,fid005,EASTERN
EASTERN,BIRIM CENTRAL,fid259,BIRIM CENTRAL,fid005,EASTERN
EASTERN,BIRIM NORTH,fid065,BIRIM NORTH,fid005,EASTERN
EASTERN,BIRIM SOUTH,fid264,BIRIM SOUTH,fid005,EASTERN
EASTERN,BIRIN CENTRAL,fid259,BIRIM CENTRAL,fid005,EASTERN
EASTERN,DANSOMAN,fid222,UPPER WEST AKIM,fid005,EASTERN
EASTERN,DENKYEMBOUR,fid081,DENKYEMBUOR,fid005,EASTERN
EASTERN,DENKYEMBOUR ASAMKESE,fid081,DENKYEMBUOR,fid005,EASTERN
EASTERN,DENKYEMBOUUR,fid081,DENKYEMBUOR,fid005,EASTERN
EASTERN,DENKYMEBOUR,fid081,DENKYEMBUOR,fid005,EASTERN
EASTERN,EAST AKIM- ABUAKWA SOUTH,fid085,ABUAKWA SOUTH,fid005,EASTERN
EASTERN,FANTEAKWA NORTH,fid092,FANTEAKWA NORTH,fid005,EASTERN
EASTERN,FANTEAKWA SOUTH,fid261,FANTEAKWA SOUTH,fid005,EASTERN
EASTERN,FANTIAKWA SOUTH,fid261,FANTEAKWA SOUTH,fid005,EASTERN
EASTERN,GA EAST,fid094,GA EAST,fid006,GREATER ACCRA
EASTERN,GA SOUTH,fid095,GA SOUTH,fid006,GREATER ACCRA
EASTERN,GA WEST,fid096,GA WEST,fid006,GREATER ACCRA
EASTERN,GA-EAST,fid094,GA EAST,fid006,GREATER ACCRA
EASTERN,GA-WEST,fid096,GA WEST,fid006,GREATER ACCRA
EASTERN,GA. CENTRAL,fid093,GA CENTRAL,fid006,GREATER ACCRA
EASTERN,KOFORIDUA,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,KORLEBU,fid030,KORLE KLOTTEY,fid006,GREATER ACCRA
EASTERN,KPONE KATAMANSO,fid131,KPONE KATAMANSO,fid006,GREATER ACCRA
EASTERN,KWABIBIREM,fid137,KWAEBIBIREM,fid005,EASTERN
EASTERN,KWAEBIBIREM,fid137,KWAEBIBIREM,fid005,EASTERN
EASTERN,KWAEBIBIREM   KADE,fid137,KWAEBIBIREM,fid005,EASTERN
EASTERN,KWAEBIBIRIM,fid137,KWAEBIBIREM,fid005,EASTERN
EASTERN,KWAEBIRIM,fid137,KWAEBIBIREM,fid005,EASTERN
EASTERN,KWAHU AFRAM PLAINS NORTH,fid138,KWAHU AFRAM PLAINS NORTH,fid005,EASTERN
EASTERN,KWAHU AFRAM PLAINS SOUTH,fid139,KWAHU AFRAM PLAINS SOUTH,fid005,EASTERN
EASTERN,KWAHU EAST,fid140,KWAHU EAST,fid005,EASTERN
EASTERN,KWAHU NORTH,fid138,KWAHU AFRAM PLAINS NORTH,fid005,EASTERN
EASTERN,KWAHU SOUTH,fid141,KWAHU SOUTH,fid005,EASTERN
EASTERN,KWAHU WEST,fid142,KWAHU WEST,fid005,EASTERN
EASTERN,LOWE MANYA KROBO,fid148,LOWER MANYA,fid005,EASTERN
EASTERN,LOWER MANYA KROBO,fid148,LOWER MANYA,fid005,EASTERN
EASTERN,LOWER MANYA-KROBO,fid148,LOWER MANYA,fid005,EASTERN
EASTERN,MANHYIA NORTH,fid221,UPPER MANYA KROBO,fid005,EASTERN
EASTERN,NEW JUABE N SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABEN,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABEN NORTH,fid159,NEW JUABEN NORTH,fid005,EASTERN
EASTERN,NEW JUABEN SOTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABEN SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABEN SOUUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABENG,fid159,NEW JUABEN NORTH,fid005,EASTERN
EASTERN,NEW JUABENG SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABN NORTH,fid159,NEW JUABEN NORTH,fid005,EASTERN
EASTERN,NEW JUABNE SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEW JUABWN SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NEWJUABEN SOUTH,fid253,NEW JUABEN SOUTH,fid005,EASTERN
EASTERN,NSAWAM ADOAGYIRE,fid168,NSAWAM ADOAGYIRI,fid005,EASTERN
EASTERN,NSAWAM ADOAGYIRI,fid168,NSAWAM ADOAGYIRI,fid005,EASTERN
EASTERN,NSAWAM-ADIAGYIRI,fid168,NSAWAM ADOAGYIRI,fid005,EASTERN
EASTERN,NSAWAM-ADOAGYIRI,fid168,NSAWAM ADOAGYIRI,fid005,EASTERN
EASTERN,OKAIKWEI NORTH,fid028,OKAIKOI NORTH,fid006,GREATER ACCRA
EASTERN,OKERE,fid018,OKERE,fid005,EASTERN
EASTERN,SHAI OSUDOKU,fid190,SHAI OSUDOKU,fid006,GREATER ACCRA
EASTERN,SOUTH DAYI,fid194,SOUTH DAYI,fid013,VOLTA
EASTERN,SUHUM,fid201,SUHUM KRABOA COALTAR,fid005,EASTERN
EASTERN,TEMA,TMA,TEMA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
EASTERN,TEMA WEST,fid215,TEMA WEST,fid006,GREATER ACCRA
EASTERN,UNKNOWN,,,,
EASTERN,UPPER MANYA KROBO,fid221,UPPER MANYA KROBO,fid005,EASTERN
EASTERN,UPPER WEST AKIM,fid222,UPPER WEST AKIM,fid005,EASTERN
EASTERN,WEIJA/GBAWE,fid249,WEIJA GBAWE,fid006,GREATER ACCRA
EASTERN,WEST AKIM,fid231,WEST AKIM,fid005,EASTERN
EASTERN,YILO KROBO,fid235,YILO KROBO,fid005,EASTERN
EASTERN,NA,,,,
