region,district,pcod2,name2,pcod1,name1
GREATER ACCRA,ABLEKUMA CENTRAL,fid021,ABLEKUMA CENTRAL,fid006,GREATER ACCRA
GREATER ACCRA,ABLEKUMA NORTH,fid022,ABLEKUMA NORTH,fid006,GREATER ACCRA
GREATER ACCRA,ABLEKUMA WEST,fid023,ABLEKUMA WEST,fid006,GREATER ACCRA
GREATER ACCRA,ACCRA,AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
GREATER ACCRA,ADA EAST,fid001,ADA EAST,fid006,GREATER ACCRA
GREATER ACCRA,ADA WEST,fid002,ADA WEST,fid006,GREATER ACCRA
GREATER ACCRA,ADENTAN,fid006,ADENTA MUNICIPAL,fid006,GREATER ACCRA
GREATER ACCRA,ASHAIMAN,fid037,ASHAIMAN,fid006,GREATER ACCRA
GREATER ACCRA,AYAWASO CENTRAL,fid025,AYAWASO CENTRAL,fid006,GREATER ACCRA
GREATER ACCRA,AYAWASO EAST,fid026,AYAWASO EAST,fid006,GREATER ACCRA
GREATER ACCRA,AYAWASO NORTH,fid270,AYAWASO NORTH,fid006,GREATER ACCRA
GREATER ACCRA,AYAWASO WEST,fid027,AYAWASO WEST,fid006,GREATER ACCRA
GREATER ACCRA,GA CENTRAL,fid093,GA CENTRAL,fid006,GREATER ACCRA
GREATER ACCRA,GA EAST,fid094,GA EAST,fid006,GREATER ACCRA
GREATER ACCRA,GA NORTH,fid250,GA NORTH,fid006,GREATER ACCRA
GREATER ACCRA,GA SOUTH,fid095,GA SOUTH,fid006,GREATER ACCRA
GREATER ACCRA,GA WEST,fid096,GA WEST,fid006,GREATER ACCRA
GREATER ACCRA,KORLEY KLOTTEY,fid030,KORLE KLOTTEY,fid006,GREATER ACCRA
GREATER ACCRA,KPONE-KATAMANSO,fid131,KPONE KATAMANSO,fid006,GREATER ACCRA
GREATER ACCRA,KROWOR,fid251,KROWOR,fid006,GREATER ACCRA
GREATER ACCRA,LA-DADE-KOTOPON,fid143,LA DADE KOTOPON,fid006,GREATER ACCRA
GREATER ACCRA,LA-NKWANTANANG-MADINA,fid144,LA NKWANANANG MADINA,fid006,GREATER ACCRA
GREATER ACCRA,LEDZOKUKU,fid147,LEKZOKUKU,fid006,GREATER ACCRA
GREATER ACCRA,NINGO-PRAMPRAM,fid160,NINGO PRAMPRAM,fid006,GREATER ACCRA
GREATER ACCRA,OKAI KOI NORTH,fid028,OKAIKOI NORTH,fid006,GREATER ACCRA
GREATER ACCRA,OKAIKWEI NORTH,fid028,OKAIKOI NORTH,fid006,GREATER ACCRA
GREATER ACCRA,SHAI-OSUDOKU,fid190,SHAI OSUDOKU,fid006,GREATER ACCRA
GREATER ACCRA,TEMA,TMA,TEMA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
GREATER ACCRA,TEMA WEST,fid215,TEMA WEST,fid006,GREATER ACCRA
GREATER ACCRA,UNKNOWN,,,,
GREATER ACCRA,WEIJA GBAWE,fid249,WEIJA GBAWE,fid006,GREATER ACCRA
GREATER ACCRA,WEIJA-GBAWE,fid249,WEIJA GBAWE,fid006,GREATER ACCRA
