region,district,pcod2,name2,pcod1,name1
NORTHERN,GUSHEGU,fid100,GUSHIEGU,fid008,NORTHERN
NORTHERN,KARAGA,fid111,KARAGA,fid008,NORTHERN
NORTHERN,KPANDAI,fid129,KPANDAI,fid008,NORTHERN
NORTHERN,KUMBUNGU,fid135,KUMBUMGU,fid008,NORTHERN
NORTHERN,NANTON,fid246,NANTON,fid008,NORTHERN
NORTHERN,NANUMBA SOUTH,fid158,NANUMBA SOUTH,fid008,NORTHERN
NORTHERN,NNS,fid158,NANUMBA SOUTH,fid008,NORTHERN
NORTHERN,SABOBA,fid176,SABOBA,fid008,NORTHERN
NORTHERN,SAGNARIGU,fid177,SANERIGU,fid008,NORTHERN
NORTHERN,SAGNERIGU,fid177,SANERIGU,fid008,NORTHERN
NORTHERN,SAVELEGU,fid178,SAVELUGU,fid008,NORTHERN
NORTHERN,SAVELUGU,fid178,SAVELUGU,fid008,NORTHERN
NORTHERN,SAVELUGU MUNICIPAL,fid178,SAVELUGU,fid008,NORTHERN
NORTHERN,TAMALE,TM,TAMALE METROPOLITAN,fid008,NORTHERN
NORTHERN,TAMALE METRO,TM,TAMALE METROPOLITAN,fid008,NORTHERN
NORTHERN,TATALE SANGULI,fid211,TATALE,fid008,NORTHERN
NORTHERN,TOLON,fid216,TOLON,fid008,NORTHERN
NORTHERN,TOLON DISTRICT,fid216,TOLON,fid008,NORTHERN
NORTHERN,YENDI,fid234,YENDI,fid008,NORTHERN
