region,district,pcod2,name2,pcod1,name1
NORTH EAST,AWUTU SENYA EAST,fid053,AWUTU SENYA EAST,fid004,CENTRAL
NORTH EAST,BUNKPURUGU-NAKPANDURI,fid245,BUNKPURUGU NYANKPANDURI,fid007,NORTH EAST
NORTH EAST,CHEREPONI,fid079,CHEREPONI,fid007,NORTH EAST
NORTH EAST,EAST MAMPRUSI,fid086,EAST MAMPRUSI,fid007,NORTH EAST
NORTH EAST,KARAGA,fid233,WEST MAMPRUSI,fid007,NORTH EAST
NORTH EAST,MAMPRUGU MOADURI,fid150,MAMPRUGU MOAGDURI,fid007,NORTH EAST
NORTH EAST,WEST MAMLRUSI,fid233,WEST MAMPRUSI,fid007,NORTH EAST
NORTH EAST,WEST MAMPRUSI,fid233,WEST MAMPRUSI,fid007,NORTH EAST
NORTH EAST,WEST MANPRUSI,fid233,WEST MAMPRUSI,fid007,NORTH EAST
NORTH EAST,YUNYOO-NASAUN,fid075,YUNYOO-NASUAN,fid007,NORTH EAST
