region,district,pcod2,name2,pcod1,name1
OTI,ACCRA,AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
OTI,ACCRA NEW TOWN,AMA,ACCRA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
OTI,BIAKOYE,fid062,BIAKOYE,fid009,OTI
OTI,JASIKAN,fid106,JASIKAN,fid009,OTI
OTI,KADJEBI,fid110,KADJEBI,fid009,OTI
OTI,KPANDAI,fid133,KRACHI NCHUMURU,fid009,OTI
OTI,KPASSA,fid164,NKWANTA SOUTH,fid009,OTI
OTI,KRACHI EAST,fid132,KRACHI EAST,fid009,OTI
OTI,KRACHI NCHUMURU,fid133,KRACHI NCHUMURU,fid009,OTI
OTI,KRACHI WEST,fid134,KRACHI WEST,fid009,OTI
OTI,MOI,,,,
OTI,NANUMBA NORTH,fid157,NANUMBA NORTH,fid008,NORTHERN
OTI,NANUMBA SOUTH,fid158,NANUMBA SOUTH,fid008,NORTHERN
OTI,NKWANAT SOUTH,fid164,NKWANTA SOUTH,fid009,OTI
OTI,NKWANTA,fid163,NKWANTA NORTH,fid009,OTI
OTI,NKWANTA NORTH,fid163,NKWANTA NORTH,fid009,OTI
OTI,NKWANTA SOUTH,fid164,NKWANTA SOUTH,fid009,OTI
OTI,NOTHERN,,,,
OTI,WORAWORA,fid132,KRACHI EAST,fid009,OTI
OTI,YENDI,fid234,YENDI,fid008,NORTHERN
OTI,NA,,,,
