region,district,pcod2,name2,pcod1,name1
UPPER EAST,BAWKU MUNICIPAL,fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
UPPER EAST,BAWKU WEST,fid057,BAWKU WEST,fid011,UPPER EAST
UPPER EAST,BEO,,,,
UPPER EAST,BINDURI,fid063,BINDURI,fid011,UPPER EAST
UPPER EAST,BINDURI CENTRAL,fid063,BINDURI,fid011,UPPER EAST
UPPER EAST,BOLGA CENTRAL,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,BOLGA EAST,fid239,BOLGA EAST,fid011,UPPER EAST
UPPER EAST,BOLGA MUNICIPAL,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,BONGO,fid070,BONGO,fid011,UPPER EAST
UPPER EAST,BUILSA NORTH,fid073,BUILSA NORTH,fid011,UPPER EAST
UPPER EAST,BUILSA SOUTH,fid074,BUILSA SOUTH,fid011,UPPER EAST
UPPER EAST,CENTRAL,,,,
UPPER EAST,FUMBISI,fid074,BUILSA SOUTH,fid011,UPPER EAST
UPPER EAST,GOROGO,fid205,TALENSI,fid011,UPPER EAST
UPPER EAST,KANDIGA KURUGU,fid112,KASSENA NANKANA EAST,fid011,UPPER EAST
UPPER EAST,KASSENA-NANKANA MUNICIPAL,fid112,KASSENA NANKANA EAST,fid011,UPPER EAST
UPPER EAST,KASSENA-NANKANA WEST,fid113,KASSENA NANKANA WEST,fid011,UPPER EAST
UPPER EAST,KAYORO,fid113,KASSENA NANKANA WEST,fid011,UPPER EAST
UPPER EAST,KONGO/PITANGA,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,KPATIA,fid175,PUSIGA,fid011,UPPER EAST
UPPER EAST,KUKA EAST,fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
UPPER EAST,MOGNORI,fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
UPPER EAST,NABDAM,fid154,NABDAM,fid011,UPPER EAST
UPPER EAST,NANGODI,fid154,NABDAM,fid011,UPPER EAST
UPPER EAST,NAVRONGO CENTRAL,fid070,BONGO,fid011,UPPER EAST
UPPER EAST,NORTH NATINGA,fid175,PUSIGA,fid011,UPPER EAST
UPPER EAST,PAGA CENTRAL,fid112,KASSENA NANKANA EAST,fid011,UPPER EAST
UPPER EAST,PELUNGU,fid057,BAWKU WEST,fid011,UPPER EAST
UPPER EAST,PUSIGA,fid175,PUSIGA,fid011,UPPER EAST
UPPER EAST,PUSIGA CENTRAL,fid175,PUSIGA,fid011,UPPER EAST
UPPER EAST,SAKOTE,fid057,BAWKU WEST,fid011,UPPER EAST
UPPER EAST,SANDEMA WEST,fid073,BUILSA NORTH,fid011,UPPER EAST
UPPER EAST,SIRIGU,fid112,KASSENA NANKANA EAST,fid011,UPPER EAST
UPPER EAST,SIRIGU H/C,fid112,KASSENA NANKANA EAST,fid011,UPPER EAST
UPPER EAST,SOE,,,,
UPPER EAST,SOUTH NATINGA,fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
UPPER EAST,TALENSI,fid205,TALENSI,fid011,UPPER EAST
UPPER EAST,TEMPANE,fid244,TEMPANE,fid011,UPPER EAST
UPPER EAST,TEMPANE CENTRAL,fid244,TEMPANE,fid011,UPPER EAST
UPPER EAST,TONGO,fid205,TALENSI,fid011,UPPER EAST
UPPER EAST,URBAN EAST,fid175,PUSIGA,fid011,UPPER EAST
UPPER EAST,URBAN WEST,fid056,BAWKU MUNICIPAL,fid011,UPPER EAST
UPPER EAST,ZAARE,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,ZANLERIGU,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,ZEBILLA SOUTH,fid057,BAWKU WEST,fid011,UPPER EAST
UPPER EAST,ZORKO,fid113,KASSENA NANKANA WEST,fid011,UPPER EAST
UPPER EAST,ZUARUNGU,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
UPPER EAST,ZUARUNGU CENTRAL,fid069,BOLGATANGA MUNICIPAL,fid011,UPPER EAST
