region,district,pcod2,name2,pcod1,name1
UPPER WEST,DBI,fid080,DAFFIAMA BUSSIE,fid012,UPPER WEST
UPPER WEST,JIRAPA,fid107,JIRAPA,fid012,UPPER WEST
UPPER WEST,LAMBUSSIE,fid145,LAMBUSSIE-KARNI,fid012,UPPER WEST
UPPER WEST,LAWRA MUNICIPAL,fid146,LAWRA,fid012,UPPER WEST
UPPER WEST,NADOWLI-KALEO,fid155,NADOWLI-KALEO,fid012,UPPER WEST
UPPER WEST,NANDOM,fid156,NANDOM,fid012,UPPER WEST
UPPER WEST,SISSALA EAST,fid192,SISSALA EAST,fid012,UPPER WEST
UPPER WEST,SISSALA WEST,fid193,SISSALA WEST,fid012,UPPER WEST
UPPER WEST,WA EAST,fid223,WA EAST,fid012,UPPER WEST
UPPER WEST,WA MUNICIPAL,fid224,WA MUNICIPAL,fid012,UPPER WEST
UPPER WEST,WA WEST,fid225,WA WEST,fid012,UPPER WEST
