region,district,pcod2,name2,pcod1,name1
VOLTA,ADAKLU,fid003,ADAKLU ANYIGBE,fid013,VOLTA
VOLTA,AFADZATO SOUTH,fid007,AFADZATO SOUTH,fid013,VOLTA
VOLTA,AGOTIME ZIOPE,fid011,AGOTIME ZIOPE,fid013,VOLTA
VOLTA,AKATSI NORTH,fid016,AKATSI NORTH,fid013,VOLTA
VOLTA,AKATSI SOUTH,fid017,AKATSI SOUTH,fid013,VOLTA
VOLTA,ANLOGA,fid114,ANLOGA,fid013,VOLTA
VOLTA,CENTRAL TONGU,fid078,CENTRAL TONGU,fid013,VOLTA
VOLTA,HO,fid101,HO,fid013,VOLTA
VOLTA,HO WEST,fid102,HO WEST,fid013,VOLTA
VOLTA,HOHOE,fid103,HOHOE,fid013,VOLTA
VOLTA,KETA,fid248,KETA MUNICIPAL,fid013,VOLTA
VOLTA,KETU NORTH,fid115,KETU NORTH,fid013,VOLTA
VOLTA,KETU SOUTH,fid116,KETU SOUTH,fid013,VOLTA
VOLTA,KPANDO,fid130,KPANDO MUNICIPAL,fid013,VOLTA
VOLTA,NORTH DAYI,fid165,NORTH DAYI,fid013,VOLTA
VOLTA,NORTH TONGU,fid167,NORTH TONGU,fid013,VOLTA
VOLTA,SOUTH DAYI,fid194,SOUTH DAYI,fid013,VOLTA
VOLTA,SOUTH TONGU,fid195,SOUTH TONGU,fid013,VOLTA
