region,district,pcod2,name2,pcod1,name1
WESTERN,AHANTA WEST,fid014,AHANTA WEST,fid014,WESTERN
WESTERN,EKM,fid197,KWESIMINTIM,fid014,WESTERN
WESTERN,ELLEMBELLE,fid091,ELLEMBELLE,fid014,WESTERN
WESTERN,JOMORO,fid108,JOMORO,fid014,WESTERN
WESTERN,MPOHOR,fid153,MPOHOR,fid014,WESTERN
WESTERN,NZEMA EAST,fid169,NZEMA EAST,fid014,WESTERN
WESTERN,PRESTEA HUNI VALLEY,fid173,PRESTEA/HUNI VALLEY,fid014,WESTERN
WESTERN,SHAMA,fid191,SHAMA,fid014,WESTERN
WESTERN,STM,STMA,SEKONDI-TAKORADI METROPOLITAN ASSEMBLY,fid014,WESTERN
WESTERN,TARKWA NSUAEM,fid210,TARKWA NSUAEM,fid014,WESTERN
WESTERN,WASSA AMENFI CENTRAL,fid226,WASSA AMENFI CENTRAL,fid014,WESTERN
WESTERN,WASSA AMENFI EAST,fid227,WASSA AMENFI EAST,fid014,WESTERN
WESTERN,WASSA AMENFI WEST,fid228,WASSA AMENFI WEST,fid014,WESTERN
WESTERN,WASSA EAST,fid229,WASSA EAST,fid014,WESTERN
